"Ob","SEVERITY"
1219,"MILD"
1220,"MILD"
1221,"MILD"
1222,"MILD"
1223,"MILD"
1224,"MILD"
1225,"MILD"
1226,"MILD"
1227,"MILD"
1228,"MILD"
1229,"MILD"
1230,"MILD"
1231,"MILD"
1232,"MILD"
1233,"MILD"
1234,"MILD"
1235,"MILD"
1236,"MILD"
1237,"MILD"
1238,"MILD"
1239,"MILD"
1240,"MILD"
1241,"MILD"
1242,"MILD"
1243,"MILD"
1244,"MILD"
1245,"MILD"
1246,"MILD"
1247,"MILD"
1248,"MILD"
1249,"MILD"
1250,"MILD"
1251,"MILD"
1252,"MILD"
1253,"MILD"
1254,"MILD"
1255,"MILD"
1256,"MILD"
1257,"MILD"
1258,"MILD"
1259,"MILD"
1260,"MILD"
1261,"MILD"
1262,"MILD"
1263,"MILD"
1264,"MILD"
1265,"MILD"
1266,"MILD"
1267,"MILD"
1268,"MILD"
1269,"MILD"
1270,"MILD"
1271,"MILD"
1272,"MILD"
1273,"MILD"
1274,"MILD"
1275,"MILD"
1276,"MILD"
1277,"MILD"
1278,"MILD"
1279,"MILD"
1280,"MILD"
1281,"SEVERE"
1282,"MILD"
1283,"MILD"
1284,"MILD"
1285,"MILD"
1286,"SEVERE"
1287,"MILD"
1288,"MILD"
1289,"MILD"
1290,"MILD"
1291,"MILD"
1292,"MILD"
1293,"MILD"
1294,"MILD"
1295,"MILD"
1296,"MILD"
1297,"MILD"
1298,"MILD"
1299,"MILD"
1300,"MILD"
1301,"MILD"
1302,"MILD"
1303,"MILD"
1304,"MILD"
1305,"MILD"
1306,"MILD"
1307,"MILD"
1308,"MILD"
1309,"MILD"
1310,"MILD"
1311,"MILD"
1312,"MILD"
1313,"MILD"
1314,"MILD"
1315,"MILD"
1316,"MILD"
1317,"MILD"
1318,"MILD"
1319,"MILD"
1320,"MILD"
1321,"MILD"
1322,"MILD"
1323,"MILD"
1324,"MILD"
1325,"MILD"
1326,"MILD"
1327,"MILD"
1328,"MILD"
1329,"MILD"
1330,"MILD"
1331,"MILD"
1332,"MILD"
1333,"MILD"
1334,"MILD"
1335,"MILD"
1336,"MILD"
1337,"MILD"
1338,"MILD"
1339,"MILD"
1340,"MILD"
1341,"MILD"
1342,"MILD"
1343,"MILD"
1344,"MILD"
1345,"MILD"
1346,"MILD"
1347,"MILD"
1348,"MILD"
1349,"MILD"
1350,"MILD"
1351,"MILD"
1352,"MILD"
1353,"MILD"
1354,"MILD"
1355,"MILD"
1356,"MILD"
1357,"MILD"
1358,"MILD"
1359,"MILD"
1360,"MILD"
1361,"MILD"
1362,"MILD"
1363,"MILD"
1364,"MILD"
1365,"MILD"
1366,"MILD"
1367,"MILD"
1368,"MILD"
1369,"MILD"
1370,"MILD"
1371,"MILD"
1372,"MILD"
1373,"MILD"
1374,"MILD"
1375,"MILD"
1376,"MILD"
1377,"MILD"
1378,"MILD"
1379,"MILD"
1380,"MILD"
1381,"MILD"
1382,"MILD"
1383,"MILD"
1384,"MILD"
1385,"MILD"
1386,"MILD"
1387,"MILD"
1388,"MILD"
1389,"MILD"
1390,"MILD"
1391,"MILD"
1392,"MILD"
1393,"MILD"
1394,"MILD"
1395,"MILD"
1396,"MILD"
1397,"MILD"
1398,"MILD"
1399,"MILD"
1400,"MILD"
1401,"SEVERE"
1402,"MILD"
1403,"MILD"
1404,"MILD"
1405,"MILD"
1406,"MILD"
1407,"MILD"
1408,"MILD"
1409,"MILD"
1410,"MILD"
1411,"MILD"
1412,"MILD"
1413,"MILD"
1414,"MILD"
1415,"MILD"
1416,"MILD"
1417,"MILD"
1418,"MILD"
1419,"MILD"
1420,"MILD"
1421,"MILD"
1422,"MILD"
1423,"MILD"
1424,"MILD"
1425,"MILD"
1426,"MILD"
1427,"MILD"
1428,"SEVERE"
1429,"MILD"
1430,"MILD"
1431,"MILD"
1432,"MILD"
1433,"MILD"
1434,"MILD"
1435,"MILD"
1436,"MILD"
1437,"MILD"
1438,"MILD"
1439,"MILD"
1440,"MILD"
1441,"MILD"
1442,"MILD"
1443,"MILD"
1444,"MILD"
1445,"MILD"
1446,"MILD"
1447,"MILD"
1448,"MILD"
1449,"MILD"
1450,"MILD"
1451,"MILD"
1452,"MILD"
1453,"MILD"
1454,"MILD"
1455,"MILD"
1456,"SEVERE"
1457,"MILD"
1458,"MILD"
1459,"MILD"
1460,"MILD"
1461,"MILD"
1462,"MILD"
1463,"MILD"
1464,"MILD"
1465,"MILD"
1466,"MILD"
1467,"MILD"
1468,"MILD"
1469,"MILD"
1470,"MILD"
1471,"MILD"
1472,"MILD"
1473,"MILD"
1474,"MILD"
1475,"MILD"
1476,"MILD"
1477,"MILD"
1478,"MILD"
1479,"MILD"
1480,"MILD"
1481,"MILD"
1482,"MILD"
1483,"MILD"
1484,"MILD"
1485,"MILD"
1486,"MILD"
1487,"MILD"
1488,"MILD"
1489,"MILD"
1490,"MILD"
1491,"SEVERE"
1492,"MILD"
1493,"MILD"
1494,"MILD"
1495,"MILD"
1496,"MILD"
1497,"MILD"
1498,"MILD"
1499,"MILD"
1500,"MILD"
1501,"MILD"
1502,"MILD"
1503,"MILD"
1504,"MILD"
1505,"MILD"
1506,"MILD"
1507,"MILD"
1508,"MILD"
1509,"MILD"
1510,"MILD"
1511,"MILD"
1512,"MILD"
1513,"MILD"
1514,"MILD"
1515,"MILD"
1516,"MILD"
1517,"MILD"
1518,"MILD"
1519,"MILD"
1520,"MILD"
1521,"MILD"
1522,"MILD"
1523,"MILD"
1524,"MILD"
1525,"MILD"
1526,"MILD"
1527,"MILD"
1528,"MILD"
1529,"MILD"
1530,"MILD"
1531,"MILD"
1532,"MILD"
1533,"MILD"
1534,"MILD"
1535,"MILD"
1536,"MILD"
1537,"MILD"
1538,"MILD"
1539,"MILD"
1540,"MILD"
1541,"MILD"
1542,"MILD"
1543,"MILD"
1544,"MILD"
1545,"MILD"
1546,"MILD"
1547,"MILD"
1548,"MILD"
1549,"MILD"
1550,"MILD"
1551,"MILD"
1552,"MILD"
1553,"MILD"
1554,"MILD"
1555,"MILD"
1556,"MILD"
1557,"SEVERE"
1558,"MILD"
1559,"MILD"
1560,"MILD"
1561,"MILD"
1562,"MILD"
1563,"MILD"
1564,"MILD"
1565,"MILD"
1566,"MILD"
1567,"MILD"
1568,"MILD"
1569,"MILD"
1570,"MILD"
1571,"MILD"
1572,"MILD"
1573,"MILD"
1574,"MILD"
1575,"MILD"
1576,"MILD"
1577,"MILD"
1578,"MILD"
1579,"MILD"
1580,"MILD"
1581,"MILD"
1582,"SEVERE"
1583,"MILD"
1584,"MILD"
1585,"MILD"
1586,"MILD"
1587,"MILD"
1588,"MILD"
1589,"MILD"
1590,"MILD"
1591,"MILD"
1592,"MILD"
1593,"MILD"
1594,"MILD"
1595,"MILD"
1596,"MILD"
1597,"MILD"
1598,"MILD"
1599,"SEVERE"
1600,"MILD"
1601,"MILD"
1602,"MILD"
1603,"MILD"
1604,"MILD"
1605,"MILD"
1606,"MILD"
1607,"MILD"
1608,"MILD"
1609,"MILD"
1610,"MILD"
1611,"MILD"
1612,"SEVERE"
1613,"MILD"
1614,"MILD"
1615,"SEVERE"
1616,"MILD"
1617,"MILD"
1618,"MILD"
1619,"MILD"
1620,"MILD"
1621,"MILD"
1622,"MILD"
1623,"MILD"
1624,"MILD"
1625,"MILD"
1626,"MILD"
1627,"MILD"
1628,"MILD"
1629,"MILD"
1630,"MILD"
1631,"MILD"
1632,"MILD"
1633,"MILD"
1634,"MILD"
1635,"MILD"
1636,"MILD"
1637,"MILD"
1638,"MILD"
1639,"MILD"
1640,"MILD"
1641,"MILD"
1642,"MILD"
1643,"MILD"
1644,"MILD"
1645,"MILD"
1646,"MILD"
1647,"MILD"
1648,"MILD"
1649,"MILD"
1650,"MILD"
1651,"MILD"
1652,"MILD"
1653,"MILD"
